Category,Count
hep-ph,133420
quant-ph,111246
hep-th,106123
cs.CV,103089
astro-ph,94246
cs.LG,90369
gr-qc,64271
cond-mat.mes-hall,63690
cond-mat.mtrl-sci,61320
cs.CL,53462
math.AP,49443
cond-mat.str-el,48262
astro-ph.GA,46923
math.CO,45762
astro-ph.SR,43409
cond-mat.stat-mech,40798
astro-ph.CO,40350
astro-ph.HE,39703
math.PR,39157
math.AG,36015
cs.IT,35735
nucl-th,33518
math.NT,32594
math.OC,31951
math-ph,31882
cond-mat.supr-con,31613
physics.optics,29588
math.DG,29094
math.NA,29070
cond-mat.soft,28367
cs.RO,25494
hep-ex,23233
cs.CR,23198
cs.AI,23081
math.DS,22781
astro-ph.EP,22615
math.FA,20088
stat.ME,19909
physics.flu-dyn,19351
astro-ph.IM,18188
hep-lat,18015
stat.ML,17003
eess.SP,16580
cs.NI,16201
math.GT,15632
cs.DS,15627
math.RT,15222
math.CA,15192
eess.IV,15118
math.ST,14715
eess.SY,14454
physics.ins-det,14336
math.GR,14234
cs.SE,13887
cond-mat.quant-gas,13816
cs.DC,13514
physics.soc-ph,12563
physics.atom-ph,12398
physics.chem-ph,11892
nucl-ex,11665
cs.HC,11659
cond-mat.dis-nn,11600
physics.plasm-ph,11379
cond-mat,11357
math.RA,10876
cs.CY,10801
cs.IR,10565
math.CV,10515
cs.LO,10441
cs.SI,10160
physics.app-ph,9863
math.LO,9741
stat.AP,9231
physics.gen-ph,9038
math.QA,8969
math.AT,8920
math.AC,8462
math.OA,8072
physics.comp-ph,7824
cs.GT,7576
q-bio.PE,7260
cs.NE,6844
cond-mat.other,6743
cs.SD,6739
nlin.CD,6495
eess.AS,6473
physics.bio-ph,6349
physics.acc-ph,6219
q-bio.NC,6163
cs.DB,6125
math.MG,6097
cs.CC,5154
nlin.SI,5148
cs.SY,5054
q-bio.QM,5003
cs.PL,4904
math.SG,4825
physics.class-ph,4783
physics.med-ph,4765
cs.DM,4676
math.SP,4673
nlin.PS,4344
cs.CG,4252
math.CT,4070
cs.CE,3947
physics.geo-ph,3921
math.GM,3832
physics.ao-ph,3697
stat.CO,3687
cs.DL,3443
econ.GN,3373
physics.data-an,3283
math.GN,3252
cs.AR,3208
physics.hist-ph,3162
physics.ed-ph,3112
q-bio.BM,2957
cs.FL,2920
math.HO,2918
nlin.AO,2726
cs.MA,2708
econ.EM,2602
cs.GR,2558
math.KT,2466
q-bio.MN,2232
cs.MM,2226
physics.space-ph,2225
cs.ET,2151
cs.OH,2041
q-fin.ST,2002
q-bio.GN,1821
chao-dyn,1770
econ.TH,1737
q-fin.MF,1546
q-fin.GN,1544
physics.pop-ph,1338
q-fin.RM,1293
cs.SC,1259
q-fin.CP,1237
physics.atm-clus,1227
q-fin.PR,1217
alg-geom,1209
q-alg,1177
q-fin.PM,1168
q-bio.TO,1167
cs.PF,1128
q-fin.TR,1078
cs.NA,1073
cs.MS,1056
q-bio.CB,962
cmp-lg,894
q-bio.OT,882
solv-int,844
q-bio.SC,669
stat.OT,638
dg-ga,562
nlin.CG,527
cs.OS,495
patt-sol,452
q-fin.EC,384
funct-an,320
adap-org,306
mtrl-th,165
comp-gas,140
chem-ph,129
cs.GL,113
supr-con,69
atom-ph,68
acc-phys,46
plasm-ph,28
ao-sci,13
bayes-an,11
